applied_code_bias_terms,max_abs_applied_code_bias_m,missing_code_bias_terms,observations,selected_code_bias_terms,source,station,time_gpst,tow_s
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:33:00 GPST,329580.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 19:38:00 GPST,329880.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 19:43:00 GPST,330180.0
0,0.000,0,25,0,broadcast,DLF1,2026-07-08 19:48:00 GPST,330480.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:53:00 GPST,330780.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 19:58:00 GPST,331080.0
0,0.000,0,26,0,broadcast,DLF1,2026-07-08 20:03:00 GPST,331380.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:08:00 GPST,331680.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:13:00 GPST,331980.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:18:00 GPST,332280.0
0,0.000,0,24,0,broadcast,DLF1,2026-07-08 20:23:00 GPST,332580.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:28:00 GPST,332880.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:33:00 GPST,333180.0
0,0.000,0,21,0,broadcast,DLF1,2026-07-08 20:38:00 GPST,333480.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:43:00 GPST,333780.0
0,0.000,0,23,0,broadcast,DLF1,2026-07-08 20:48:00 GPST,334080.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:53:00 GPST,334380.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 20:58:00 GPST,334680.0
0,0.000,0,22,0,broadcast,DLF1,2026-07-08 21:03:00 GPST,334980.0
13,6.940,39,26,52,has,DLF1,2026-07-08 19:33:00 GPST,329580.0
11,6.940,37,24,48,has,DLF1,2026-07-08 19:38:00 GPST,329880.0
11,6.940,37,24,48,has,DLF1,2026-07-08 19:43:00 GPST,330180.0
12,6.940,38,25,50,has,DLF1,2026-07-08 19:48:00 GPST,330480.0
12,6.940,40,26,52,has,DLF1,2026-07-08 19:53:00 GPST,330780.0
12,6.940,40,26,52,has,DLF1,2026-07-08 19:58:00 GPST,331080.0
12,6.940,40,26,52,has,DLF1,2026-07-08 20:03:00 GPST,331380.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:08:00 GPST,331680.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:13:00 GPST,331980.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:18:00 GPST,332280.0
12,6.940,36,24,48,has,DLF1,2026-07-08 20:23:00 GPST,332580.0
11,6.940,35,23,46,has,DLF1,2026-07-08 20:28:00 GPST,332880.0
11,6.940,33,22,44,has,DLF1,2026-07-08 20:33:00 GPST,333180.0
