broadcast_fallback_satellites,corrected_satellites,fallback_satellites,source,station,time_gpst,total_satellites,tow_s
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:33:00 GPST,31,329580.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:38:00 GPST,31,329880.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:43:00 GPST,31,330180.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:48:00 GPST,31,330480.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:53:00 GPST,31,330780.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 19:58:00 GPST,31,331080.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:03:00 GPST,31,331380.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:08:00 GPST,31,331680.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:13:00 GPST,31,331980.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:18:00 GPST,31,332280.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:23:00 GPST,31,332580.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:28:00 GPST,31,332880.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:33:00 GPST,31,333180.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:38:00 GPST,31,333480.0
31,0,E04 E06 E09 E10 E11 E15 E19 E21 E23 E27 E28 E29 E31 E34 E36 G01 G02 G05 G10 G12 G14 G15 G17 G18 G19 G20 G21 G22 G23 G24 G30,broadcast,DLF1,2026-07-08 20:43:00 GPST,31,333780.0
